008_George_Bond,"Amante de los autos y la tecnología"
AG_Riike,"Sniping With Style XBGT:  AG Riike[ ¿? ]  Riike is life, Riike is love..   ( ˘ ³˘)♥ @SnipersmexicosM | @SnipingTeamAG |"
AGA1272,"Abogado, Maestro en derecho Constitucional, Doctorando por el IIDE, Despacho Alvarez Gutierrez & Asociados Cosultoria Juridica, Americanista y Tabasqueño"
agadget,"El mundo del gadget al minuto"
agamenon9,"Crear desde el miedo no es posible."
AgAndriw,"lo peor es que te conosco tanto que prodria recordarte quien eres por si lo olvidas"
Agapito,"yo soy Agapito y pos vivo en el rancho, soy un munchacho alejre. (by @Pollo)"
agapo1,""
agarcia1943,""
agarcol,""
agaroso,"Adopta, no compres mascotas. Pro-animales, pro-bici, preocupada por el medio ambiente y por el futuro de la raza humana."
AgavesAzules,""
agbahena,"Así hablaba Zaratustra!!"
agblackw,"Mi sarcasmo le afecta? Créame, lo siento tanto. No esperen nada de mi, probablemente nunca se los daré."
agc1003,""
agcarbonell,""
AGen180Segundos,"no_description"
AgenciaPAR,"Periódicos Asociados en Red (PAR) somos un grupo de diarios que producimos de manera coordinada investigaciones periodísticas de alto impacto."
AgenciaTres,""
agendaxmexico,"La primera agenda política creada por los ciudadanos mexicanos."
agerlein,""
aggri_,""
agim79,"A un gran corazón ninguna ingratitud lo cierra, ninguna indiferencia lo cansa. (León Tolstoi)"
aglol0,""
agmnn,"Loca por los libros, fisioterapeuta y felizmente tapatia!"
agmorita,""
agnamihira,"En el camino del #GrowthHacking #ContentMarketing #INNOVATION. Love #SocialEntrepreneurship #Traveling #Foodie #DataScience"
agnzlz,"Maratonista. Atlantista. Y una basura de persona."
Agonias_24,"Despues del Tocho, el mejor momento es cuando me pongo mis audifonos a todo volumen y disfruto la musica"
agonzalezdelam,"#MaestroEnAdministracion #Trabajador #Mexico #Chivas #RomanticoEmpedernido #MusicaInExtremo #Soñador #CasadoC&A   #Masculino #ElGolfEsMiPasion #HechoEnCuceaUdeG"
AGonzalezTaxi,"agronomo, Taxista de oficio"
agooctubre,"#Criaturita⚡⚡"
agozado,"Transport, mobility, economics & random tweets by a delicatessen aficionado."
agredano_carlos,"La peor forma de echar a alguien de menos es estar sentada a su lado y saber que nunca será tuyo"
agricolsamuelp1,""
AgtaluTalula,"De aqui de alla nueva en esto,vengo a divertirme. y ud?"
AguasWeb,"Aguascalientes - Directorio comercial, turístico e industrial de los mejores negocios de Aguascalientes. Eventos, turismo, promociones, noticias hidrocálidas"
aguerrero8,""
aguicar5,""
aguila3186,""
AGUILAFER33,"Lic. Administración de Empresas. Americanista hasta morir. #F1. #Turismo"
aguilarosorio,"Diputado por Quintana Roo en la XIV Legislatura, Cancunense, Empresario, Abogado, Político, pero pescador antes que cualquier cosa."
Aguilax6,"no_description"
AguileraQfb,""
Aguirre_A_Luis,"Sports Journalist Reforma Group Mexico (NFL, Super Bowl, F1, Indy Car, WRC, NASCAR, GP2 Series, British F3, ATP, LPGA & NHL experience) Westie Owner."
AguirreGLuis,"me gustan los legos"
aguirrepalme,"explorer, father, husband, friend, entrepreneur"
agus_castilla,"Lic Derecho UNAM, Maestría Administración Pública y Política Pública ITESM, ex Dip Local y Federal, PAN"
agusalva06,"Maestro en Administración por la U de G Participó en la Formación de Jóvenes Universitarios en Guadalajara."
AgusCastro_L,""
Aguss_v13,"De materia prima Mazahua y Mixteca, manufactura coyoacanense y acabados tlalpenses, Que más puedes querer?"
agusstino1,"Sos Un Borreguito de la Sierrenia Local"
agustinbajaba,"Príncipe de Santiago Nuevo León, municipio pionero en plagio y asesinato de ediles a nivel mundial.Catador de menudo blanco."
agustinjmnz,"Abogado"
AgustinVelaH,"#NoAgusNoParty Bienvenido Stalker, te ofrezco algo? En la vida hay que sufrir por fútbol y nada más.⚽️ RΩR #9"
agusyanez,"IT Lawyer. @WayraMexico Advisor. @Georgetown LLM '97. Profesor en @ITESO. Co-autor Introducción a los Contratos Tecnológicos. Activista Cibernético."
agzcruz,"Abogado: especialista en Finanzas; Consejero ciudadano de Juventud, miembro Phi Delta Phi. No me interesa morir como héroe, prefiero vivir como villano."
AH_MakeupStyle,"Professional Makeup Artist.Film & TV, fashion, social events, photo shoots & body painting."
AHelenenis,"no_description"
Ahemedina,"Tapatío, apasionado de viajar, las buenas comidas y la convivencia con familia y amigos"
ahernandezg85,"mmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmm simplemente yo"
aherreraaviles,""
aherrerar90,""
AHGUERRA,"Abogado de Profesion Corporativo, Mediación, Notarial y Electoral"
AhhKikin,"Ingeniero en Cibernética. Gamer. Geek. Gusto del rock, el indie y la ciencia ficción. C8H11NO2+C10H12N2O+C43H66N12O12S2"
ahnhla,"Alive!"
AhOkWe,"1738."
AholaKaija,"Finnish English Spanish German Swedish Russian. News Nonsense Politics Play Serious Satire Space. Mininos Conejitos y Kimi Räikkönen"
ahope71,"Editor, seguridad y justicia, http://t.co/a2n9cxymfM. Drogas, delito, seguridad, violencia. RT o ligas no significan aprobación o respaldo."
AhoraMadrid,"Candidatura de Unidad Popular para las elecciones municipales resultante del acuerdo entre @GanemosMadrid y @PodemosMad. Madrid: el momento es ahora."
ahoraura,"Aquí va una descripción soberbia, intelectualoide y con un chascarrillo al final"
ahron75,"Triatleta en construcción, maratonista consumado, biker de corazón"
ahtziricardenas,"Seguir o retuitear NO significa coincidir, sólo compartir... por si acaso."
AhtziriSPal,""
AhumadDavid,"ESTUDIANTE DE ING AGRONOMO     UAEM"
AICM,"no_description"
aicm,"no_description"
aicm3,"Aeropuerto Internacional de la Ciudad de México Benito Juárez.  En el último año movilizamos más de 34.2 millones de pasajeros. Fue inaugurado el 19/Nov/1952."
AICM3,"Aeropuerto Internacional de la Ciudad de México Benito Juárez.  En el último año movilizamos más de 34.2 millones de pasajeros. Fue inaugurado el 19/Nov/1952."
AICM_Sitio300,"Somos un grupo de permisionarios y operadores rescatando el Sitio 300 del AICM tras la gran corrupción que existe con las autoridades: aicm.sitio300@gmail.com"
aicrijiro59,""
aida_triada,""
AidaBeaux,""
aidaspeejo,"All the time God is good"
aiderg17,""
AIejandroCampos,"Thriving"
AIP_Oaxaca,"Agencia Informativa y Publicitaria.  Instagram: AIPNoticias e_mail: aipnoticias@icloud.com"
airam1800,"un lindo gatito que da zarpasos por aqui"
Airbnb,"@Airbnb is the world's largest community-driven hospitality company. With unique listings in 190 countries, travelers can #belonganywhere."
AisforAlberto,"soy como tú, pero bien"
Aisha_Hamud,"El mundo según Honey... Consultora en @LLorenteyCuenca y chica Californian"
aizamudio,"Estudiante de Master en GTI, #TwitterRunners #PowerRunMx #RunnersToluca, pseudo ciclista, egresado de la #UAEMex, geek, #PotroSalvajes y mas."
ajaimes1993,"Hola esto es twitter??"
AjalaBiste,"Artistilla de a peso"
AJaredF,"Si esperabas que suspirara contando los segundos hasta que llegaras, debes pensar que tu tiempo es tan valioso como el mío."
ajarivas72,"Engineer, astronomer, unix-linux-windows-mac os x programmer, language student, auto-mechanic, mathematics passionate, electrician, history fan, aerospace fan."
AjaureguiS,"Estudiante de Historia, UdG. Fervoroso cariño al Club Deportivo Guadalaja. Tirando Rostro."
ajcampos01,"Deixa a vida me levar, vida leva eu .. #tech #green #eco  @ClubeFollowBack"
ajgr78,""
AJicad,"Hay que sumar y despertar una conciencia social,buscar consecuencias parar los abusos."
ajimenezcanale,"Estudio ciencias políticas, comparto mis comentarios en @ForoCuatroTv, y doy clases en prepa. Ex presidente de la @SE_Campogrande."
ajscience,"I'm who I'm and what I have!!"
AjuscoTlalpan,"Información turística y comercial - Santo Tomás Ajusco, San Miguel, La Magdalena, Xicalco, Topilejo, San Andrés. #Picacho"
Ak47TheLegend,"El éxito no esta en vencer siempre sino en no desanimarse nunca."
AkaneGis,"No era mi día. Ni mi semana, ni mi mes, ni mi año. Ni mi vida. ¡Maldita sea!"
Akenatorr,"Aguardientólogo - El juicio no lo agradece nadie"
akenatton3,"No confies demasiado. No ames demasiado. Porque DEMASIADO puede doler......demasiado."
Akiibakei,"Mi canal es mi escudo de la virginidad y hago videos de anime :3 Contacto:akibakeii22@gmail.comhttps://t.co/MYOOIfyoF8"
akirareiko,"Tech Entrepreneur. Past: Founder @Atomix @SCLBits @NerdcorePodcast | Now CEO and co-founder @PocketVideoApp | Tech, Video, Japan, Games |  Snapchat: akirareiko"
AkiraReyna,""
akntov,"Los temas de mi interes: Política, educación, manufactura, libros, tecnología."
al3T1a,""
Al__Juarismi,"—Comienzo acomodando palabras, con el fin de no mostrar mi desorden mental..."
Al_and_Mor,""
Al_Esquivel,"Toluqueño refugiado QuerétaroAwakening"
Al_Letragique,"Siempre he tenido más preguntas que respuestas • ¿Si DIOS está conmigo quién contra mí?? • Instagram Al_letragique"
Al_Manji,"Newbie foodie, conductor de la hora de los carajillos, gamer, Project Manager y fan de las artes marciales y los deportes"
al_spinola,"Profesionista, amante de la lucha del día a día, y en cuestión constante de lo que nos rodea."
alabarces,""
Alacontra,"Proesord... and more..."
Aladelagarza,"Nací y crecí entre el Bosque de Chapultepec y el Parque España. Lector, crítico literario, escritor, periodista cultural al borde del abismo"
alaentsicdanae,""
alaguilerac,""
AlainSin,"Yo soy de esas cosas que son tan bonitas, que van a la costa y adornan el mar."
Alan2041,""
Alan5437,""
alan_arf,"Universitario, conocedor de leyes y prensa.        Buscando un cambio social.                                             GDL, Jalisco"
alan_fumanchero,""
alan_navarro,"Cometo errores soy ser humano, juego Soccer, ITESM HGO, Instangram: a.navarro45, Snapchat: navarro45, dame follow y a ver qué pasa."
Alan_OchoaM,"Jalisciense, Médico Veterinario y Zootecnista por la UdeG, chiva de corazón, democracia y justicia social, dirigente de la @JT_Zapopan #HalaMadrid"
alan_r_gallardo,"Maestro en Com. inst. Fan de lo ñoño, cine/tv/vg/comics/anime. Amante de los gatos y la lectura. Chicago Bears fan"
alan_tell,"Alan es o ha sido sociólogo, estudiante, reportero, músico, futbolero, melómano, editor, chiva de corazón, gunner a la distancia...de todo pues. #UAEMex-#ITESO"
alan_vengador,"YOUTUBER GAMER Correo: alanvengador4@gmail.com"
alanana12,""
alanapb,"Escribo, después pienso."
AlanCano1,"Orgullosamente católico y mexicano. Estudiante LEF en el @ITESM_Puebla. Servidor público en @juventudpue / miembro de @CNE_PUE @juventudlac"
alancapetillo,"Las ideas tienen consecuencias"
AlanCasas24,"PoetrySlamMex"
AlanCortes09,"Architect - I speak Spanglish"
AlanDCoronado,"shocking your world since 1992...  biotecnologia genomica/ neurosciences"
AlanGtz95,"Whether you think you can or can't, your right"
alanlucifer6,"Das Ist Mein Land!!"
AlanMB,"Ingeniero, trabajando en diseño de la interacción para la industria del petróleo y en mis changarros. Y deja tú lo guapo, soy maestro Pokémon."
alanmisterioso,"Te estoy viendooo!"
AlanMoralesO,"Estudiante de Derecho en la Universidad de Guadalajara, conductor de programa Carpeta Legislativa."
alanosorio85,"Fotografo"
alanpf,"Un norteño en la capital. 1/2 de https://t.co/kiCvesWF0K Escribo aquí y en @ThePublicistas."
alanpk10,"Me encanta ver y jugar fútbol. Cinéfilo. Economista. UNAM. STPS. Pumas. Real Madrid. Seahawks. Beatlemaniaco."
AlanPoe33,""
alanRso94,"Medstudent."
AlanSC31,""
alanxelmundo,"Actualmente estoy en #Tampico / Vblog d viajes Mier, Vie y Dom video nuevo en https://t.co/SY93S8KT4L Negocios - contacto@alanxelmundo.com"
alanzabalegui,"Me gustaría decir que sabía que esto iba a pasar, que todo esto es parte de un plan para dominar el mundo"
alarconpablo10,"música, paisajes, juegos, animales etc;"
AlarmaGdl,"Grupo de ciudadanos que queremos una Guadalajara mejor. Denunciemos lo que está mal, damos RT y difundimos"
alas274,"no_description"
alasde,"Business and Management  consultant Consultor  de Negocios y empresarial.  Economista ,Colombia es mi oficina"
Alastor_B,"Licenciado en Derecho, metalero y videojugador / UAM-AZC / CEO de Sejas & González Abogados."
alatristeddk03,"que te puedo decir sobre mi, soy romántico, algo poeta, amo mi carrera, soy feliz siendo libre por la vida nada ni nadie me detiene hago lo que quiero siempre"
alba_fierro,"Mezcla rara de carreras que ni yo misma imaginé, orientada a la salud y Estadistica sin querer ..... La vida está llena de pruebas y errores."
Alba_VP,"Soy periodista de profesión, viajera de afición. Miembro del equipo de Mesa Digital de El Financiero."
albac_a,"Soy un chavo centrado en lo que hago, responsable y preocupado por la situación en la que vive México, hay que aportar"
AlbanoDiaz,"Lo siento, perdóname, te amo, gracias. Coordinador canal tiin y conductor de @FandomOficial"
ALBARRANTOO,""
AlbavillarrealM,"Impredecible ♛ • AGS VI•I•XVI. 19"
albayardo,"Académico, comprometido con la defensa de los derechos humanos y la construcción de ciudadanía. No creo en dogmas de ningún tipo, soy librepensador"
albdmz10,"Mucho amor y confianza: dos ingrediente indispensables para volver a el camino, una vez que lo has perdido."
albe_,"desk at @sole24ore website | @econopoly24 founder and handyman | Tweets on italian politics, eurozone, economics | @acmilan supporter, now @Aventino_Milan"
albedo37,"La libertad nunca es voluntariamente otorgada por el opresor; debe ser exigida por el que está siendo oprimido"
albeirotorresv,""
ALBEJARANO,""
AlberoSandodade,"No entiendo señales ni indirectas. Futbolista casi profesional. Falso 10"
albert_marentes,"Buena musica, un buen libro, fines de semana en familia, disfrutar de la vida, no guardes rencores"
Albert_Pastelin,"Facultad de Ciencias Políticas y Sociales UNAM/ Filántropo."
albertgallegosh,""
albertitoo,""
albertjil,"Cuanto me debia el destino, que contigo me pago."
albertjoops,"Amo los colores, me encanta la musica, amo ayudar, no me gustan las acelgas, amo amar"
AlbertMedina2,"en México la patria sólo es un instrumento de la burguesía destinado a explotar a la clase trabajadora."
alberto_ajc,"Ingeniero Venezolano y amante de la cocina | Noticias de interés tecnológico | http://t.co/em8NKLq5kV"
alberto_albertp,""
Alberto_Arganda,""
Alberto_castman,""
alberto_prz,"D'Artagnan, motherfuckers! ¯\_(ツ)_/¯"
AlbertoAcBa,"Apasionado de los negocios. Enamorado del continuo aprendizaje en marketing, relaciones humanas, emprendurismo, internet y desarrollo humano."
albertoagnesi,"Actor y productor... La felicidad ni se busca ni se encuentra, solamente se construye.... 2016 #SraAcero2 #ElOrnitorrinco #LunaDeMiel"
AlbertoAguilarZ,""
Albertoamz1,"Abogado en proceso / UdeC / Practicante Judicial /Participante ABA ROLI / Runner / Doctorado en cata de cerveza / La mejor venganza es el éxito."
AlbertoAnaya1,"Las cosas son claras, sin tapujos, con respeto y sin miedo..."
AlbertoBernalLe,"Estratega en Jefe de XP Securities. Columnista La República, El Mercurio. Profesor Adjunto de U. Miami, Columbia U. Chazen Scholar. Demagogia=Pobreza."
albertobio3,"Ozonobio3 Equipos de Ozonoterapia y OzonoFrecuencia"
albertoBio3,"Ozonobio3 Equipos de Ozonoterapia y OzonoFrecuencia"
albertoborrego1,""
albertocrdenas,"El que no vive para servir no sirve para vivir. Ing. Industrial, emprendedor, músico; instagram: @alberto_cn89"
albertodefqon1,""
AlbertoFelix1,"Seize the day or die regretting the time you lost"
albertogrs,"si hablo de más ofendo"
AlbertoLoMX,"no_description"
AlbertoLoNev,"Maestro fuego, futuro científico social por la @EAHNMoficial, vicepresidente de @KawiAc"
albertolozanoa,""
ALBERTOMORA2,""
AlbertoMorones,"Las cosas sencillas de la vida son las mejores"
AlbertoMunoz,"@GrupoPlenum #robotics #Innovation @CANIETI @AMIPCI #Imagination #P&G #ITESM #INRIA #Oxford #BigData #Analytics #Stanford #TUWien @JaniaMunoz & Lena dad."
albertomunuzuri,""
albertonajar25,""
albertopg96,"Estudiante de Derecho de la Universidad de los Andes. 19 años. NJR Colombia.https://t.co/tWkIb7x3JT"
AlbertoPioV,"La verdadera libertad de expresión consiste en decir a la gente todo aquello que no quiere oír. (parodia de mí mismo)"
AlbertoPlaschin,"no_description"
AlbertoRavell,"Periodista venezolano."
AlbertoRuedaE,"Reportero de Televisa Puebla (@TV3Noticias); Corresponsal para Televisa Radio (@WRADIOMexico) -Socio de AR Consultores (Grupo AR)-"
albertotriana81,"no_description"
albertoum57,"SI ESTE ES MI TWITTER OFICIAL!!"
albertovazquezz,"Progresista asoleado en Guanatos, viviendo a destiempo entre 24 vueltas al sol,  megalómano a conciencia por lo mismo solitario."
AlbertoWAguilar,"Duele México."
Albertox7F,"Gamer / Geek / Fc Bayern München / CF América / New England Patriots / Sport Boy / Soccer Player /"
albertoyapor,"Industrial designer."
AlbertR26,"Analítico por naturaleza,  distraido en algunas ocaciones, divertido y adicto al #café. Amo #viajar asi como los #deportes extremos."
alberttdj,"Pensador empedernido, exigente en cierta parte perfeccionista y como condimento geek."
alberttobp_a,""
AlbetoJess,""
Albirojo75,""
albiuji,"De estilo liberal, ideología abierta, estudiante y sociable"
albjar,"Just a guy"
AlbMendoza,"Comunicación. Política.  Estrategia. Periodismo. Situacionismo."
Albornoz,"Creando estrategias que apoyen objetivos personales o de negocio usando Internet, Marketing, Customer Experience Management y Redes Sociales. Opiniones Propias!"
albornozmx,"▶️ Locución ⏩ Audio ↗️ Publicidad [eduardo@albornoz.mx]"
AlbozEstias,""
albsatorre,"MEXICO ES MAS DE LO QUE TENEMOS HOY. LA PAZ ES UNA CONQUISTA #Compromisoporlapaz"
AlcaldesMexico,"Revista de consulta plural, independiente y propositiva. Brindamos herramientas para una mejor gestión pública."
AlcaldiadeMed,"Unidos, construimos la ciudad que soñamos. #MedellínCuentaConVos #LaRutadeMedellín"
AlcaldiaMed,"Somos veedores digitales. Por una #Medellín justa y social. Esta cuenta no representa a la Alcaldía de Medellín."
alcamilito,"Madness is like gravity, all it takes is a little push¡¡¡¡ :)"
alcantara001,"abrumadoramente imperfecto pero escandalosamente feliz."
alcantimack,"Piloto, ingeniero; engineer and pilot... de Macondo. Random tweets and RTs in English y español."
alcaracita,"Tratando de aprender del amor que Dios me da a través de mi misión como esposa, madre y ciudadana mexicana. Cristiana desde hace 18 años."
alcarazvm,""
ALCAZARTS,"Ingeniero Civil. Día a día construye tu futuro. Caminante no hay camino... se hace camino al andar!"
alchazchaz11,"¿chabes o no chabes?"
AlcocerDr,"Soy medico egresado UdeG Generacion medicos 1969-1975. 1967-1969 Prepa de Jalisco. IMSS 1974. Como buen mexicano aguantador de lo peor politicos y jueces"
AlcoholiMetrGDL,"Doc en Libertad de expresión. Actualidad Tapatía y Tendencias.Maneja en estado conveniente#ThinkBeforeYouDrive#ModerateDrinking Twittercontacto@yahoo.com"
alconsumidor,"Emprendedor social (whatever that means). Global Village idiot. Blog @Pajaropolitico. #CuadraturadelCírculo, @rompevientotv. Videocolumna @Revolucion3_0"
Aldapamagda,""
Aldeadeletras,"Comunicadora. Autora de Peligro en la Aldea de las Letras y El Lindero (LIJ)."
aldegundogzl,"Industrial engineer, photo, roller coasters, travel, fashion and art lover"
AlDeLaTabla,"no_description"
Aldemar_gvd,""
AldemarC,"Detesto el ajo, a los que huelen a ajo y los que se creen ajo que lo curan todo."
AldeSaint,"I'm a rebel heart in a serious world"
AlDespertar2012,""
aldillorivas19,""
aldivanny_Fai,"Ingeniero en Energia, egresado orgullosamente de la UAM-I, especializado en fenomenos de transporte aplicados a la energia solar."
aldo7_vf,""
Aldo_AguilarS,""
aldo_mvz,"No puedo entenderme."
AldoAguirreG,"Startup Programs Director for Latam, US & Canada at @Techstars [@StartupWeekend, @StartupWeek & More]. Chilango-chihuahuense. Professional Group-Selfie taker."
AldoArriagaL,""
AldoFigze,"Cirujano dentista. Corredor. The more you do, the more you get."
aldogym,"no_description"
Aldomanuelpim,"Aventurero, viajero, amiguero, sincero, dicharachero y cu...áles otras cualidades jajajaja"
ALDOMMATUK,""
AldonzaS,"My main activity is looking, looking... listening  and more looking and trying to listen to my subjective reactions as objectively or neutrally as possible."
AldoPartida,"Ingeniero en Computología XD y mega fan de Matrix y Enigma!"
aldoperez88,"Soy a todo dar. Estudio comercio y negocios internacionales en @LaEBC"
AldoRamirezU,"Director Administrativo SDIS"
aldosv91,""
aldotl90,"Dreamer | Gay | Abraham Hicks - Louise Hay"
aldotru96,""
aldovaleriano,"abogado,casado,director de Valeriano y asociados abogados especialistas."
aldovillarrealm,"feel my drive, see my vision and hear my hunger"
aldu_maria,""
ale160901,"❁ Todo Llega Para Quien Sabe Esperar ❁ | @mariobautista_ | @ElJuanpaZurita | @mauhcorona | @oscarguum | ♕#Lobita |"
Ale3Barroeta,"Mexicana con espíritu emprendedor, financiera creativa, pipope de corazón."
ale5641,""
Ale7andro_,"A year of great victory for me. ✌️ Instagram: ale7andro_"
ale_alternative,"De mi sólo sabrán mi nombre..."
Ale_delRosal,""
ale_gahe,"Orgullosamente @IBERO_mx; amo escribir y los deportes. Fútbol y béisbol dos deportes de herencia. Un buen libro hace la diferencia. La Jugueria y ex @laaficion"
ale_garzardz,"no_description"
Ale_OrtigozaR,"historiadora, trotamundos y trovadora"
ale_ramse,"Layler, #LucahSupport. •Making story since 98• |SLP, Mty, SD|"
ale_xa_85,"Turismo + Viajes + Melómana  +  Conciertos + Shopping + Fashion + Movies + Indie & Rock Music = ALE"
AleaGil,"El dinero es el final de cualquier revolución. La misma historia de siempre. Der Fernseher lügt."
alealfaro76,""
Alealor,"Bookworm. Potterhead. In love with París and Prague. Love dogs. Accountant. German student."
alealvarezmar,"Just because you know my name doesn't mean you know my game."
aleanaeli,"Snapchat: aleanaeli"
AleandroAldana,"Instagram. : @aleandroaldana;...                 Snapchat: aleandroaldana;....        dame la oportunidad de decepcionarte"
alear6263,""
alebrambila,"Account Manager - @Reuters News Agency. Amante de la danza, el té, la fotografía y los libros. Originaria de Monterrey, Mx. ITESM/SciencesPo París"
alebsipoce,"Alebsi Planeación Organización Coordinación de Eventos / Facebook: Alebsi Poce / eventos@alebsi.com / PD: amo Hombres G"
AleCachanilla,"No estoy enojada, así hablo"
alecava12,"Abogada - Derecho Penal - Derecho medicoOrgullosamente Rosarista!"
AleCavallero,"Entrepreneur. Pasión por crear, pasión por crecer! Amor por mis hijos, mi familia, mis amigos...y Boquita!"
alecbon,"Amante de la vida, runner y crear cosas diferentes. Consultoría, Publicidad, RP y Coaching."
alechii,"Sin definición, plebeya y proletaria, también multichambas."
alecitapunk,"Coeditora nacional. Licenciada en Ciencias de la Comunicación por la UNAM. Defensora de los animales :D. Mamá de Natalia."
aleclevs,"A la derecha por favor. Apasionado del #marketingOpiniones propias"
alecortes_12,""
alecr55,""
alecstrada_18,"Ing. en Sistemas Computacionales, Maestría en Dirección de Proyectos, Arquero Amateur"
Aledarksdro,"Mi mejor pasatiempo es quedarme sentado y esperar."
AleDColombia,"Profesional en seguridad e higiene industrial la sonrisa es la mejor arma en cualquier lucha..."
AleDeLaOv,"no_description"
AleDelgadillo8,"Amo la musica & la velocidad"
AleDiener,"Soy Doula certificada, apoyo a mujeres a parir y por eso sé q la vida es valiosa desde que inicia hasta su fin. La pobreza se acaba con información y formación."
aledima6,"deporte, música, viajes, aviación"
Aledoom,"No tengo valor ni para huir.No soy más que un mortal como todos los demás, un descendiente del primero que fue formado de la tierra.Economista."
Alee_Marti,"no_description"
Aleee111,"Fan 100% de @SANDARTI"
AleehDavila,"19 // #WigettangelextaxxbycheetuzuOMG777 #FalPal #JimmyFallon #macklemoreryanlewis Jimmy Fallon follow me 20/08/2015❤️ FallonTonight follow me 07/09/2015❤️"
Aleejandro_Gzz,"Estudiante de psicología."
Aleex_Lara,"TKD // FCA, UADY // ACCOUNTANT"
aleexhdc,""
AleexTacvbo,"no desees que mueran  tus enemigos es mejor que estén vivos para verte triunfar."
AleFuckIt,"Próximamente Comunicadora Social."
alegaxi,"Conductora de Noticias, Uniradio Vision Informativa 1 a 3 pm 1470 am 157 cable"
alegis8,"no_description"
AlegreBengali,"Rodrigo Gallo, campesino llanero, alvarista y uribista. La Patrona, un caballo, una hoja en blanco y un arpa. Columnista en https://t.co/XSZWsUeVS6"
alegriabetorres,"Έωσφόρος"
aleharo,"Del norte pero en el centro. Cambiando."
Alehira,"Politóloga ITAMita •Corredora•"
ALEIDYTAS,"HASTA QUE LO BUENO SEA MEJOR...Y LO MEJOR SEA EXCELENTE... SALUD Y VIDA...BOYACENSE Y ORGULLOSAMENTE COLOMBIANA ¡¡¡ TOTAL!!!"
alejaaandraa17,"/ You are like nicotine bad for my health but I want you anyways /"
alejabev,""
alejafeliz,"Orgullosamente hecha en CU. Actual PR de tecnología atrapada en el mundo de los cupcakes y la cerveza artesanal. Más historias en mi blog..."
AlejaMelendezz,"Comunicadora Social Organizacional- Nova Group Communications"
AlejaMPineros,"Millonarios F.C. para la eternidad! - Química & fútbol! *_*"
alejamtu,"Abogada asesora sindicatos coordinadora proyectos fescol"
Alejamumo,"Política Y Jurisprudencia."
alejan09_ar,"Inconvencional / troll político / apartidista / emprendedor"
Alejand09344205,"Coleccionista de timbres"
Alejand0burgos,"Mejor tener pocos amigos y verdaderos que tener muchos amigos hipócritas."
Alejand17863966,"Estudiante de Derecho de la Universidad de Los Andes. El idioma mundial es el fútbol"
Alejand19sebast,"Nuestra amistad no es un sueño, es la realidad"
Alejand20427046,""
Alejand2lopzz,"La amistad es estar ahí en cada momento del día, con lo brazos abiertos, esperando tanto los buenos como los malos momentos."
alejandr73781,""
alejandra9217,"Medio-antisocial, Rockanrolera, Informadora (periodista free) narcisista. De la ciudad de la torta ahogada,el mariachi  y el tequila"
alejandradiaza8,"Descifradora de enigmas...  Quitemos el lugar privilegiado a la indiferencia,expandamos la solidaridad a todos aquellos que no tienen justicia y paz."
alejandrapareds,"Amante de las preguntas aristotélicas .Comunicación. Cinéfila. Reportera. Lectora. Sonriente. Espectáculos. Pambolera. Viajera. Campusera. F1. Béisbol⚾. MotoGP"
AlejandraRojasG,""
alejandrasua,"Sonorense. Conciertos, fotografía y futbol. ¿Mi pasión? Lo anterior y el 4 del Real Madrid. Fotógrafa en Imago7. #JugandoClaro"
alejandro19,"En construcción."
alejandro2769,""
alejandro27sk8,"Skateboarder 18 years old"
alejandro_lan1,""
Alejandro_Lelo,"Periodista"
Alejandro_R_F,"Coautor del libro El Patrocinio Deportivo Abogado Corporativo Constructor de Soluciones Legales para Proyectos de Marketing."
alejandro_spm,"Apasionado por Dios, mi familia y la vida .... me encanta la tecnología y desarrollo software."
Alejandro_Vdlt,"You are about to know who I am...Steelers, Chivas, FC Barcelona, New York Yankees, Manchester United, Bayern München, Juventus. #PayasoPower"
Alejandro_Vivas,"You must follow your heart."
AlejandroBadiaG,""
AlejandroBrofft,"En busca de la nota contundente, la entrevista reveladora, la crónica cautivadora y el gran reportaje. Periodista, pues."
alejandrocharry,"Estudiante de Derecho Universidad Externado de Colombia."
AlejandroDeVA,"Clarinetista."
AlejandroDezag,".- Viajo, luego existo."
AlejandrodlaTor,"... Prefiero ser lobo hambriento en las montañas que perro gordo encadenado sufriendo...Odin Dupeyron."
alejandrofsc,"Hermano Lasallista"
alejandroide15,""
AlejandroIsaacs,"Asumo cada letra que emita y no comprometen al Diario donde trabajo hace 26 años."
AlejandroJmz1,"1995, Guadalajara, Estudiante, Leyes, Viviendo como si no existiera el mañana, Carpe diem, quam minimum credula postero"
AlejandroLuevan,""
alejandroluna_f,"Chef frustrado / Coahuilense y lagunero / Padre de una hermosa nena"
AlejandroM_R,"Licenciado y Maestro en Derecho por @UPGdl Estudiante @udg_oficial y Catedratico."
AlejandroMares1,""
alejandromerc5,""
alejandromerk,"Publicista - Productor - Pata de perro."
AlejandroNietoE,""
AlejandroNolas2,"Especialista en ventas de equipos de bombeo y camisero por afición."
AlejandroPin5,"no_description"
AlejandroPP,"Journalist and geopolitical analyst"
AlejandroPuron,""
AlejandroRayran,"Profesional en Gobierno y Relaciones Internacionales"
AlejandroRe7,"asando carne en la ciudad donde hace mucho frió o mucho calor o mucho aire o llueve mucho, y a veces todo en el mismo día."
ALEJANDROREY,""
